"SEX","contrast","estimate","lower.CL","upper.CL","percent","percent_low","percent_high","SE","p.value","t.ratio","model"
"Male","FOODSEC4 - FOODSEC3",0.117538819288136,-0.0635945359667523,0.298672174543025,12.472529013141,-6.16145960640137,34.806762014329,0.0694428790608061,0.332454675811217,1.69259715146914,"MHH"
"Female","FOODSEC2 - FOODSEC1",0.0643985479504312,-0.097325102078807,0.226122197979669,6.65173723825596,-9.2738994255737,25.3728859051641,0.0620015891300033,0.727148773325067,1.03865963524583,"MHH"
"Female","FOODSEC3 - FOODSEC1",-0.119003987323359,-0.262455416323488,0.0244474416767692,-11.2195739207775,-23.0839344385994,2.47487306167884,0.0549963877229447,0.139858976758281,-2.16385097731992,"MHH"
"Female","FOODSEC3 - FOODSEC2",-0.18340253527379,-0.406183178513248,0.0393781079656668,-16.7566995360888,-33.3811875102819,4.01637034875828,0.0854096101946342,0.144752779112382,-2.14732902838272,"MHH"
"Female","FOODSEC4 - FOODSEC1",0.0076555774014157,-0.161884037657198,0.17719519246003,0.768495625693788,-14.9460170586998,19.3864103656784,0.064998072651852,0.999412327131683,0.117781606270406,"MHH"
"Female","FOODSEC4 - FOODSEC2",-0.0567429705490155,-0.278410239725334,0.164924298627303,-5.5163110933854,-24.301378800918,17.9303840412642,0.0849827650102827,0.909029645272821,-0.667699745261874,"MHH"
"Female","FOODSEC4 - FOODSEC3",0.126659564724775,-0.0968379713175264,0.350157100767076,13.5030547564323,-9.22969318489718,41.9290502706347,0.0856844524518066,0.454059985356218,1.47820941956786,"MHH"
"Male","FOODSEC2 - FOODSEC1",0.0307691657207377,-0.10361278962784,0.165151121069315,3.12474291526255,-9.84256712260613,17.9571363328552,0.0515193342501397,0.932708334956523,0.597235313083539,"MOH"
"Male","FOODSEC3 - FOODSEC1",0.0867047195056697,-0.0150172894840884,0.188426728495428,9.05746067606985,-1.49050923269053,20.7348615495981,0.038998168825161,0.123289833288272,2.22330232720387,"MOH"
"Male","FOODSEC3 - FOODSEC2",0.055935553784932,-0.0966014766859301,0.208472584255794,5.75295277650505,-9.20822395604843,23.1795159017021,0.0584796242766927,0.774296377056738,0.956496463114681,"MOH"
"Male","FOODSEC4 - FOODSEC1",0.180014934263103,0.0021217122755107,0.357908156250695,19.7235242814412,0.212396469971776,43.0334247187062,0.0682006772459878,0.0461941431073184,2.63948895424925,"MOH"
"Male","FOODSEC4 - FOODSEC2",0.149245768542365,-0.0853910552116575,0.383882592296388,16.0958281174265,-8.18468343921148,46.7973080215593,0.0899550309341633,0.350256378543244,1.65911530453028,"MOH"
"Male","FOODSEC4 - FOODSEC3",0.0933102147574332,-0.0852941676833848,0.271914597198251,9.78022369056664,-8.17578724917436,31.2474907490289,0.0684733218358078,0.525323266119414,1.36272364558538,"MOH"
"Female","FOODSEC2 - FOODSEC1",0.0510554294378032,-0.105450394703394,0.207561253579001,5.23812245661861,-10.0080887505911,23.0673097663208,0.0600011798095131,0.829895960211218,0.850907092158685,"MOH"
"Female","FOODSEC3 - FOODSEC1",-0.117739839354524,-0.254098721095704,0.0186190423866555,-11.1072713569037,-22.4384771318385,1.87934575558513,0.0522772479993794,0.115802960668374,-2.2522195383338,"MOH"
"Female","FOODSEC3 - FOODSEC2",-0.168795268792327,-0.375929364168076,0.0383388265834216,-15.5318181586338,-31.3349166517789,3.90832422649285,0.0794110389790254,0.15138816596545,-2.12558947675915,"MOH"
