SEQN,RIAGENDR,RIDAGEYR,RIDRETH1,DMDEDUC2,INDFMPIR
21624,2,0,4,NA,1.09
21625,1,50,3,2,1.28
21626,1,9,4,NA,0.39
21627,2,12,3,NA,0.58
21628,1,10,4,NA,0.87
21629,1,10,1,NA,2.27
21630,2,63,3,1,0.77
21631,2,2,4,NA,0.64
21632,2,81,4,1,1.65
21633,1,3,2,NA,0.8
21634,2,17,3,NA,3.48
21635,2,65,5,4,2.8
21636,2,22,3,2,3.34
21637,1,43,3,3,1.11
21638,1,4,3,NA,1.21
21639,2,20,2,1,1.07
21640,1,16,1,NA,0.83
21641,1,4,1,NA,2.91
21642,2,19,3,NA,0.78
21643,2,62,1,1,0.94
21644,2,35,1,1,1.44
21645,1,39,4,3,4.64
21646,1,29,4,2,0
21647,2,16,3,NA,1.6
21648,1,1,1,NA,4.35
21649,1,13,1,NA,0
21650,2,13,3,NA,3.6
21651,2,9,3,NA,1.04
21652,1,42,4,3,1.34
21653,2,0,1,NA,3.6
21654,1,41,4,4,0.16
21655,1,82,3,4,1.57
21656,1,18,3,NA,1.46
21657,2,10,1,NA,0.65
21658,1,45,4,3,1.78
21659,1,15,1,NA,0.95
21660,2,41,3,3,0.75
21661,1,40,3,2,2.18
21662,2,1,1,NA,0.64
21663,1,29,3,2,2.69
21664,1,19,4,NA,1.06
21665,2,10,4,NA,0.14
21666,2,66,4,3,3.01
21667,2,60,3,3,0.59
21668,1,31,4,4,4.08
21669,2,14,1,NA,4.52
21670,2,1,3,NA,0.95
21671,2,7,3,NA,1.59
21672,2,61,3,4,4.8
21673,1,15,1,NA,NA
21674,1,14,1,NA,0.66
21675,1,31,3,5,3.25
21676,2,14,4,NA,1.06
21677,2,13,2,NA,0.36
21678,1,73,3,4,4.95
21679,1,11,3,NA,0.89
21680,1,2,3,NA,0
21681,1,54,2,5,2.72
21682,1,70,1,1,0.7
21683,2,24,3,4,NA
21684,2,15,3,NA,0.67
21685,2,49,3,5,1.25
21686,1,17,1,NA,0.41
21687,1,2,3,NA,1.09
21688,2,12,3,NA,5
21689,1,0,5,NA,2.06
21690,1,26,3,3,1.28
21691,1,72,1,2,2.06
21692,2,0,3,NA,5
21693,2,3,4,NA,1.49
21694,1,9,1,NA,NA
21695,1,4,4,NA,1.24
21696,1,16,3,NA,5
21697,1,10,4,NA,0.89
21698,2,6,3,NA,0.95
21699,1,70,3,4,2.64
21700,2,19,3,NA,0.3
21701,1,5,5,NA,1.39
21702,2,62,3,4,4.51
21703,1,27,4,4,4.45
21704,1,39,3,3,1.24
21705,1,33,1,1,5
21706,1,7,1,NA,2.23
21707,2,9,1,NA,3.53
21708,1,0,1,NA,3.98
21709,1,10,1,NA,2.05
21710,2,7,5,NA,4.46
21711,1,5,5,NA,0.72
21712,2,53,4,3,2.15
21713,1,10,1,NA,1.9
21714,1,28,5,2,0
21715,1,85,3,1,1.45
21716,1,12,4,NA,2
21717,2,0,4,NA,3.17
21718,2,6,4,NA,3.63
21719,2,35,3,4,2.18
21720,2,18,3,NA,3.7
21721,1,17,3,NA,0.67
21722,1,14,3,NA,1.91
21723,1,33,3,2,0.91
21724,1,44,3,3,NA
21725,2,1,4,NA,0.56
21726,2,41,2,1,1.12
21727,1,7,4,NA,1.65
21728,1,59,3,5,5
21729,1,2,1,NA,0.8
21730,2,46,4,2,0.4
21731,1,0,1,NA,1.19
