SEQN,FSDHH
32471,1
32472,1
32473,1
32474,1
32475,4
32476,1
32477,1
32478,1
32479,1
32480,3
32481,1
32482,3
32483,3
32484,1
32485,1
32486,3
32487,1
32488,1
32489,1
32490,1
32491,1
32492,1
32493,1
32494,1
32495,1
32496,1
32497,1
32498,1
32499,1
32500,1
32501,1
32502,3
32503,1
32504,1
32505,3
32506,1
32507,1
32508,1
32509,1
32510,1
32511,1
32512,4
32513,2
32514,2
32515,3
32516,3
32517,2
32518,1
32519,1
32520,1
32521,1
32522,1
32523,1
32524,1
32525,3
32526,1
32527,1
32528,1
32529,1
32530,1
32531,1
32532,4
32533,1
32534,1
32535,2
32536,NA
32537,1
32538,1
32539,1
32540,1
32541,1
32542,3
32543,1
32544,1
32545,1
32546,1
32547,1
32548,1
32549,1
32550,1
32551,1
32552,2
32553,1
32554,1
32555,4
32556,1
32557,1
32558,1
32559,1
32560,1
32561,4
32562,1
32563,3
32564,1
32565,1
32566,1
32567,4
32568,1
32569,2
32570,1
32571,1
32572,1
32573,1
32574,1
32575,1
32576,4
32577,1
32578,1
32579,1
32580,1
32581,1
32582,2
32583,1
32584,1
32585,1
32586,1
32587,1
32588,1
32589,1
32590,1
32591,1
32592,1
32593,3
32594,1
32595,1
32596,1
32597,1
32598,1
32599,1
32600,1
32601,2
32602,NA
32603,1
32604,1
32605,1
32606,2
32607,3
32608,1
32609,2
32610,1
32611,1
32612,NA
32613,NA
32614,1
32615,1
32616,1
32617,2
32618,1
32619,1
32620,1
32621,2
32622,1
32623,1
32624,2
32625,1
32626,1
32627,3
32628,4
32629,1
32630,3
32631,1
32632,1
32633,1
32634,1
32635,1
32636,1
32637,2
32638,1
32639,1
32640,1
32641,1
32642,1
32643,3
32644,1
32645,3
32646,2
32647,1
32648,1
32649,1
32650,1
32651,1
32652,1
32653,3
32654,1
32655,1
32656,1
32657,1
32658,3
32659,1
32660,3
32661,1
32662,4
32663,1
32664,1
32665,1
32666,1
32667,2
32668,4
32669,3
32670,3
32671,1
32672,3
32673,1
32674,1
32675,1
32676,1
32677,1
32678,4
32679,2
32680,1
32681,1
32682,1
32683,1
32684,1
32685,2
32686,1
32687,3
32688,3
32689,1
32690,1
32691,1
32692,1
32693,2
32694,1
32695,3
32696,1
32697,1
32698,1
32699,2
32700,1
32701,1
32702,1
32703,1
32704,1
32705,1
32706,3
32707,2
32708,1
32709,2
32710,1
32711,1
32712,2
32713,1
32714,1
32715,3
32716,1
32717,1
32718,2
32719,1
32720,2
32721,1
32722,2
32723,1
32724,1
32725,1
32726,1
32727,2
32728,2
32729,1
32730,1
32731,1
32732,1
32733,1
32734,1
32735,1
32736,1
32737,3
32738,1
32739,1
32740,1
32741,3
32742,1
32743,1
32744,3
32745,1
32746,1
32747,3
32748,1
32749,2
32750,3
32751,1
32752,1
32753,2
32754,1
32755,1
32756,1
32757,1
32758,2
32759,1
32760,1
32761,1
32762,1
32763,1
32764,2
32765,4
32766,2
32767,1
32768,1
32769,1
32770,4
32771,1
32772,1
32773,1
32774,1
32775,1
32776,4
32777,1
32778,1
32779,1
32780,1
32781,1
32782,1
32783,1
32784,1
32785,1
32786,4
32787,3
32788,1
32789,1
32790,1
32791,4
32792,1
32793,3
32794,4
32795,4
32796,1
32797,1
32798,4
32799,1
32800,1
32801,1
32802,1
32803,3
32804,1
32805,3
32806,3
32807,1
32808,1
32809,1
32810,1
32811,2
32812,1
32813,1
32814,1
32815,1
32816,3
32817,1
32818,1
32819,NA
32820,4
32821,1
32822,1
32823,2
32824,2
32825,1
32826,1
32827,NA
32828,1
32829,1
32830,1
32831,1
32832,1
32833,2
32834,1
32835,4
32836,3
32837,1
32838,1
32839,1
32840,1
32841,2
32842,1
32843,1
32844,1
32845,1
32846,1
32847,1
32848,3
32849,1
32850,4
32851,1
32852,1
32853,1
32854,1
32855,1
32856,1
32857,1
32858,1
32859,1
32860,1
32861,1
32862,1
32863,1
32864,1
32865,1
32866,1
32867,1
32868,1
32869,1
32870,1
32871,2
32872,1
32873,1
32874,1
32875,1
32876,1
32877,2
32878,1
32879,1
32880,1
32881,2
32882,3
32883,1
32884,1
32885,1
32886,3
32887,3
32888,2
32889,1
32890,1
32891,1
32892,1
32893,1
32894,1
32895,3
32896,1
32897,1
32898,2
32899,1
32900,1
32901,2
32902,1
32903,2
32904,1
32905,2
32906,1
32907,1
32908,1
32909,2
32910,1
32911,3
32912,1
32913,1
32914,4
32915,1
32916,1
32917,1
32918,1
32919,1
32920,1
32921,3
32922,1
32923,2
32924,1
32925,3
32926,1
32927,1
32928,4
32929,1
32930,1
32931,1
32932,1
32933,3
32934,1
32935,1
32936,1
32937,3
32938,1
32939,1
32940,1
32941,1
32942,1
32943,1
32944,1
32945,1
32946,1
32947,1
32948,4
32949,1
32950,3
32951,1
32952,1
32953,1
32954,1
32955,1
32956,2
32957,2
32958,1
32959,1
32960,1
32961,1
32962,1
32963,2
32964,1
32965,1
32966,1
32967,2
32968,1
32969,1
32970,1
32971,1
32972,1
32973,4
32974,3
32975,1
32976,1
32977,1
32978,2
32979,1
32980,1
32981,1
